Age,Gender,City,Seniority level,Position ,Total years of experience,Yearly salary,Number of vacation days,Main language at work,Company type,Contract,Year
50,Male,Berlin,Lead,Software Engineer,29,28800,30,German,IT-Outsourcing,unlimited,2020
24,Female,Prague,Middle,Software Engineer,3,29000,20,English,Startup,unlimited,2020
23,Male,Cologne,Junior,Fullstack Developer,1,30000,24,Deutsch,Startup,Temporary contract,2019
24,Male,Moscow,Middle,Machine Learning Engineer,2,30000,28,Russian,Product,unlimited,2019
24,Male,Saint Petersburg,Middle,Fullstack Developer,4,30000,28,Russian,Bodyshop / Outsource,unlimited,2019
33,Male,Moscow,Senior,Mobile Developer,12,30000,28,Russian,Startup,unlimited,2019
25,Male,Berlin,Middle,Fullstack Developer,3,30000,27,Deutsch,Startup,unlimited,2019
24,Male,Tallinn,Junior,Software Engineer,3,30000,28,English,Product,unlimited,2020
30,Male,Berlin,Junior,Product Manager,3,30000,30,English,Product,unlimited,2020
30,Male,Berlin,Junior,Product Manager,3,30000,30,English,Product,unlimited,2020
35,Male,Berlin,Junior,Software Engineer,1,30000,26,German,Product,unlimited,2020
48,Male,Madrid,Senior,DevOps,15,30000,30,English,Startup,unlimited,2020
35,Male,Murnau am Staffelsee ,Middle,Beikoch,1,30000,20,German,Biergarten ,Temporary contract,2020
28,Male,Sevilla,Middle,DatabEngineer,4,30000,24,Spanish,Consulting / Agency,unlimited,2020
23,Female,Moscow,Middle,Data Engineer,4,32000,28,Russian,Product,unlimited,2019
33,Female,Berlin,Junior,Business Analyst,1,32000,28,English,Startup,Temporary contract,2019
31,Female,Berlin,Middle,Graphic Designer,11,32000,27,English,Startup,Temporary contract,2020
29,Male,Milan,Middle,Data Scientist,3,32000,24,English,Startup,unlimited,2020
26,Female,Hannover,Middle,QA Engineer,2,32000,30,German,Non-tech retail,unlimited,2020
34,Male,Berlin,Head,"CTO (CEO, CFO)",14,32000,20,English,Startup,unlimited,2019
38,Male,Hamburg,Junior,Backend Developer,18,32000,24,English,Product,unlimited,2019
24,Male,Brussels,Junior,Data Scientist,2,33000,31,French,Consulting / Agency,unlimited,2019
26,Female,Moscow,Senior,Frontend Developer,6,33000,24,Russian,Product,unlimited,2020
31,Male,Prague,Senior,DevOps,11,33200,25,English,Product,unlimited,2019
30,Female,Berlin,Junior,QA,1,34000,30,English,Startup,unlimited,2019
24,Male,Saint Petersburg,Middle,Fullstack Developer,5,34000,28,Russian,Bodyshop / Outsource,unlimited,2019
26,Male,Kyiv,Senior,Mobile Developer,5,34000,25,English,Product,Temporary contract,2019
23,Male,Warsaw,Middle,Software Engineer,4,34000,28,English,Product,Temporary contract,2020
45,Male,Berlin,Middle,Data Engineer,14,34446,24,English,Product,unlimited,2019
35,Male,Berlin,Senior,Fullstack Developer,15,35000,20,English,Product,unlimited,2019
38,Male,Berlin,Senior,Backend Developer,11,35000,24,English,Startup,unlimited,2020
22,Male,Zürich,Intern,Product Management Praktikant,2,35000,24,German,Startup,Temporary contract,2020
27,Male,Krakow,Senior,QA Engineer,5,35000,28,English,Product,Temporary contract,2020
25,Female,Moscow,Senior,Frontend Developer,5,35300,28,Russian,Product,unlimited,2019
36,Male,Berlin,Middle,Support,19,36000,24,English,Startup,Temporary contract,2019
45,Female,Munich,Junior,Frontend Developer,2,36000,27,Deutsch,Consulting / Agency,unlimited,2019
38,Female,Frankfurt,Junior,Frontend Developer,1,36000,30,Deutsch,Consulting / Agency,unlimited,2019
33,Male,Kyiv,Middle,System Administrator,15,36000,24,Russian,Consulting / Agency,unlimited,2019
28,Female,Frankfurt,Junior,Mainframe,1,36000,28,Deutsch,Startup,unlimited,2019
33,Male,Berlin,Junior,Support,2,36000,25,Deutsch,Product,unlimited,2019
23,Male,Jyvaskyla,Middle,Backend Developer,2,36000,30,English,Product,unlimited,2019
23,Male,Tampere,Junior,Frontend Developer,1,36000,40,English,Others,unlimited,2019
36,Male,Antwerpen,Middle,Manager,15,36000,20,English,Bodyshop / Outsource,unlimited,2019
28,Male,Rome,Middle,ML Engineer,2,36000,36,English,Product,unlimited,2020
42,Male,Wroclaw,Senior,Software Engineer,16,36000,30,English,Product,unlimited,2020
32,Male,Prague,Senior,Software Engineer,8,36000,25,Czech,Product,unlimited,2020
23,Female,Berlin,Junior,Data analyst ,1,36000,28,English,Startup,unlimited,2020
41,Male,Berlin,Senior,Designer (UI/UX),20,36000,24,English,Others,Temporary contract,2020
23,Male,Moscow,Middle,Backend Developer,3,36819,28,Russian,Product,unlimited,2019
26,Male,London,Middle,DevOps,3,37000,25,English,Product,unlimited,2020
36,Male,Nürnberg,Junior,Frontend Developer,1,37500,28,German,Startup,Temporary contract,2020
29,Male,Milan,Middle,Data Scientist,4,37500,16,Italian,Consulting / Agency,unlimited,2020
32,Male,Hamburg,Middle,ML Engineer,4,37500,24,German,Consulting / Agency,unlimited,2020
25,Male,Brussels ,Junior,Data Scientist,1,38000,20,English,Consulting / Agency,unlimited,2020
26,Male,Saarbrücken,Middle,Frontend Developer,7,38350,27,German,Product,unlimited,2020
36,Male,Kyiv,Middle,DevOps,3,38400,24,Russian,Bodyshop / Outsource,unlimited,2019
34,Female,Kyiv,Senior,Researcher,13,38400,27,English,University,unlimited,2019
22,Female,Berlin,Middle,Business Development Manager Operations ,4,39000,24,English,Startup,Temporary contract,2020
28,Male,Paris,Middle,Fullstack Developer,3,39400,25,French,Consulting / Agency,unlimited,2019
22,Male,Amsterdam,Junior,Fullstack Developer,1,39600,25,English,Startup,Temporary contract,2019
26,Male,Berlin,Junior,Researcher,1,40000,30,English,University,Temporary contract,2019
29,Female,Berlin,Middle,Data Scientist,2,40000,29,English,Others,unlimited,2019
35,Female,Berlin,Middle,QA,3,40000,28,English,Product,unlimited,2019
36,Male,Berlin,Middle,Researcher,4,40000,28,English,University,Temporary contract,2020
26,Female,Berlin,Middle,Tech recruiting,3,40000,25,English,Product,unlimited,2020
35,Female,Berlin,Junior,Frontend Developer,2,40000,30,English,Startup,unlimited,2020
30,Male,Barcelona,Senior,Data Scientist,5,40000,25,Spanish,Consulting / Agency,unlimited,2020
26,Female,Berlin,Middle,Mobile Developer,8,40000,36,German,Product,Temporary contract,2020
27,Male,Berlin,Junior,Data Engineer,0,40000,30,German,Consulting / Agency,unlimited,2020
30,Male,Gothenburg,Senior,Backend Developer,8,40146,24,English,Product,unlimited,2019
38,Male,Berlin,Middle,Backend Developer,15,40700,25,English,Consulting / Agency,unlimited,2020
22,Male,Leipzig,Middle,Frontend Developer,3,40800,28,German,Product,unlimited,2020
26,Male,Hamburg,Middle,Frontend Developer,5,41160,25,English,Product,unlimited,2019
25,Female,Munich,Junior,Frontend Developer,2,42000,30,Deutsch,Consulting / Agency,unlimited,2019
27,Female,Nuremberg,Middle,Business Analyst,5,42000,25,English,Product,unlimited,2019
34,Male,Freiburg,Middle,Backend Developer,2,42000,28,English,Consulting / Agency,unlimited,2019
32,Female,Berlin,Senior,QA,8,42000,26,English,Product,unlimited,2019
29,Male,Rotterdam,Middle,Data Scientist,1,42000,25,English,Consulting / Agency,Temporary contract,2019
29,Male,Berlin,Middle,QA,7,42000,25,English,Consulting / Agency,Temporary contract,2019
36,Male,Berlin,Middle,Software Engineer,7,42000,25,English and German,Product,unlimited,2020
30,Male,Ansbach,Junior,Software Engineer,4,42000,27,English,Product,unlimited,2020
28,Male,Wolfsburg,Middle,Software Engineer,3,42000,30,English,Consulting / Agency,unlimited,2020
33,Female,Berlin,Middle,Designer (UI/UX),6,42000,28,English,Product,unlimited,2020
42,Female,Berlin,Middle,QA Engineer,10,42000,24,English,Startup,unlimited,2020
33,Male,Prague,Senior,Designer (UI/UX),7,42000,24,English,Product,unlimited,2020
25,Male,Marseille,Junior,Data Scientist,1,42000,30,English,Startup,unlimited,2020
27,Female,Berlin,Junior,Backend Developer,1,42000,28,German,Product,unlimited,2020
45,Male,Madrid,Senior,Data Scientist,2,42000,24,Spanish,Consulting / Agency,unlimited,2020
35,Male,Fr,Middle,Backend Developer,4,42000,28,English,Consulting / Agency,unlimited,2020
22,Female,Amsterdam,Junior,DevOps,2,43000,27,English,Others,unlimited,2019
29,Male,Berlin,Middle,Frontend Developer,3,43000,28,English,Product,unlimited,2020
38,Male,Stuttgart ,Middle,Backend Developer,4,43000,30,English,Consulting / Agency,unlimited,2020
28,Male,Berlin,Junior,ML Engineer,1,43000,14,English,Startup,unlimited,2020
25,Female,Munich,Junior,Manager,1,43200,26,Deutsch,Consulting / Agency,unlimited,2019
25,Male,Hamburg,Junior,Software Engineer,1,43500,28,German,Startup,unlimited,2020
24,Male,Stuttgart,Junior,DevOps,2,44000,30,Deutsch,Product,unlimited,2019
26,Male,Frankfurt,Junior,Business Analyst,1,44000,28,Deutsch,Consulting / Agency,unlimited,2019
35,Male,Berlin,Middle,System Administrator,14,44000,27,English,Startup,Temporary contract,2020
24,Male,Frankfurt,Middle,Frontend Developer,3,44000,26,English,Product,unlimited,2020
28,Male,Cologne,Middle,Backend Developer,4,44000,30,German,Product,unlimited,2020
25,Male,Berlin,Middle,Mobile Developer,2,44000,27,English,Product,unlimited,2020
46,Male,Berlin,Middle,System Administrator,7,45000,25,Deutsch,Consulting / Agency,unlimited,2019
29,Male,Krakow,Senior,QA,7,45000,26,English,Product,unlimited,2019
24,Male,Frankfurt,Junior,DevOps,1,45000,28,Deutsch,Consulting / Agency,unlimited,2019
31,Male,Wroclaw,Senior,Backend Developer,10,45000,28,English,Consulting / Agency,Temporary contract,2019
26,Female,Frankfurt,Middle,Manager,2,45000,30,Deutsch,Product,unlimited,2019
36,Female,Berlin,Junior,Backend Developer,3,45000,30,English,Product,unlimited,2019
22,Male,London,Senior,"CTO (CEO, CFO)",3,45000,30,English,Startup,unlimited,2019
26,Male,Odesa,Senior,Data Scientist,3,45000,20,Russian,Bodyshop / Outsource,Temporary contract,2019
27,Female,Düsseldorf,Junior,Data Scientist,1,45000,30,English,Product,unlimited,2019
34,Female,Berlin,Junior,Software Architect,2,45000,30,Deutsch,Product,Temporary contract,2019
31,Female,Berlin,Junior,Data Scientist,1,45000,28,English,Startup,unlimited,2019
35,Female,Braunschweig,Senior,Embedded Developer,5,45000,75,Deutsch,Bodyshop / Outsource,unlimited,2019
28,Male,Amsterdam,Middle,QA,2,45000,28,English,Product,Temporary contract,2019
37,Male,Frankfurt,Junior,Embedded Developer,2,45000,28,English,Product,unlimited,2019
41,Male,Kiev,Senior,Backend Developer,19,45000,24,Russian,Product,unlimited,2019
29,Female,Berlin,Middle,QA Engineer,7,45000,26,English,Startup,unlimited,2020
28,Female,Berlin,Middle,Designer (UI/UX),7,45000,28,German,Product,unlimited,2020
28,Female,Berlin,Middle,Designer (UI/UX),7,45000,28,German,Product,unlimited,2020
31,Male,Mannheim ,Senior,Firmware Engineer,10,45000,30,English,Product,Temporary contract,2020
29,Male,Düsseldorf,Junior,Consultant Data Analytics,1,45000,30,German,Consulting / Agency,unlimited,2020
27,Male,Berlin,Middle,Frontend Developer,8,45000,28,English,Product,unlimited,2020
28,Male,Kyiv,Senior,Mobile Developer,5,45000,20,English,Product,unlimited,2020
26,Female,Berlin,Middle,Data Scientist,4,45000,25,English,Startup,Temporary contract,2020
23,Male,Berlin,Middle,Dana Analyst,4,45000,26,English,Product,unlimited,2020
31,Female,Ulm,Middle,QA Engineer,8,45000,30,English,Product,unlimited,2020
30,Female,Düsseldorf ,Junior,Analyst,2,45000,28,English,Product,unlimited,2020
30,Male,Hannover,Middle,Software Engineer,5,45000,30,English,Startup,unlimited,2020
44,Female,Berlin,Junior,ML Engineer,13,45000,24,English,Consulting / Agency,unlimited,2020
25,Female,Berlin,Middle,support engineer,2,45000,26,English,Startup,unlimited,2020
27,Male,Cologne,Junior,Software Engineer,1,45000,30,German,Product,unlimited,2020
22,Male,Frankfurt,Junior,Software Engineer,2,45000,30,German,Bank,unlimited,2020
25,Female,Cambridge,Middle,Frontend Developer,4,45000,28,English,Product,unlimited,2020
34,Female,Berlin,Senior,Designer (UI/UX),10,45000,30,German,Product,unlimited,2020
28,Male,Brussels,Middle,Robotics Engineer,3,45000,25,English,Startup,unlimited,2020
38,Male,Berlin,Junior,Full-Stack Developer,1,45500,28,English,Startup,unlimited,2020
32,Female,Berlin,Junior,Data Scientist,1,45600,25,Deutsch,Startup,Temporary contract,2019
27,Male,Heidelberg,Junior,Fullstack Developer,1,45600,24,English,University,Temporary contract,2019
23,Male,Stockholm,Senior,Frontend Developer,5,45600,30,English,Consulting / Agency,unlimited,2020
34,Male,Munich,Junior,Backend Developer,3,46000,24,Deutsch,Product,unlimited,2019
41,Female,Munich,Middle,QA,9,46000,28,Deutsch,Product,unlimited,2019
29,Female,Berlin,Middle,Machine Learning Engineer,3,46000,30,English,Startup,unlimited,2019
25,Female,Cologne,Junior,IT Security,2,46000,30,Deutsch,Others,unlimited,2019
35,Female,Madrid,Middle,Sales Engineer,12,46000,22,Spanish,Product,unlimited,2019
26,Male,Moscow,Middle,Data Scientist,3,46000,25,English,Consulting / Agency,unlimited,2019
26,Male,Berlin,Middle,Machine Learning Engineer,3,46000,24,English,Product,Temporary contract,2019
27,Male,Tuttlingen,Junior,Software Engineer,4,46000,30,German,Product,unlimited,2020
47,Male,Hamburg,Senior,Software Engineer,22,46000,30,English,Product,unlimited,2020
24,Male,Berlin,Middle,Backend Developer,4,46000,28,English,Startup,unlimited,2020
42,Female,Berlin,Middle,QA Engineer,5,46000,26,English,Product,unlimited,2020
37,Female,Hamburg,Middle,QA Manager,7,46000,30,German,Product,unlimited,2020
35,Female,Munich,Junior,Application Consultant,2,46000,28,English,Consulting / Agency,unlimited,2020
26,Female,Berlin,Junior,Data Scientist,2,47000,26,English,Startup,unlimited,2019
28,Male,Berlin,Junior,Frontend Developer,2,47000,26,German,Publishing and Technology,unlimited,2020
26,Female,Berlin,Junior,Data Scientist,2,47000,25,English,Consulting / Agency,unlimited,2020
37,Male,Berlin,Middle,Test manager,6,47400,28,German,Media,unlimited,2020
32,Female,Munich,Middle,Fullstack Developer,10,47500,25,English,Bodyshop / Outsource,unlimited,2019
42,Female,Munich,No level ,Software tester ,12,47500,28,German,Product,unlimited,2020
33,Female,Munich,Senior,Software Engineer,10,47500,25,English,Outsourse,unlimited,2020
33,Female,Berlin,Middle,Frontend Developer,13,47745,30,English,Product,unlimited,2020
28,Female,London,Middle,Business Analyst,3,48000,30,English,Product,unlimited,2019
25,Male,Munich,Junior,Data Scientist,1,48000,30,English,Product,unlimited,2019
29,Male,Berlin,Middle,Data Engineer,3,48000,26,English,Startup,unlimited,2019
31,Male,Berlin,Junior,Frontend Developer,3,48000,20,Deutsch,Consulting / Agency,unlimited,2019
31,Male,Berlin,Middle,Backend Developer,3,48000,24,English,Product,unlimited,2019
32,Male,Berlin,Junior,Data Scientist,2,48000,30,English,Product,Temporary contract,2019
27,Male,Stuttgart,Senior,Fullstack Developer,6,48000,28,English,Product,unlimited,2019
24,Female,Warsaw,Junior,RPA developer,1,48000,20,Polish,Bank,Temporary contract,2019
26,Male,Berlin,Junior,UX Researcher,2,48000,21,English,Product,unlimited,2019
40,Male,Nuremberg,Junior,Backend Developer,1,48000,30,English,Startup,unlimited,2019
28,Male,Koblenz,Junior,Frontend Developer,2,48000,28,Deutsch,Product,unlimited,2019
26,Male,Münster,Junior,Data Scientist,5.5,48000,26,German,Product,unlimited,2020
24,Male,Boeblingen,Junior,C/C++/Java developer,0.8,48000,30,English,Product,unlimited,2020
25,Male,Hamburg,Middle,Data Scientist,2,48000,28,German,Product,unlimited,2020
26,Male,Frankfurt,Middle,Software Engineer,3,48000,27,English,Consulting / Agency,unlimited,2020
24,Male,Berlin,Junior,Backend Developer,3,48000,28,English,Game Company,Temporary contract,2020
30,Male,Utrecht,Middle,Data Scientist,2,48000,25,English,Product,Temporary contract,2020
27,Male,Frankfurt,Middle,Software Engineer,5,48000,28,English,Consulting / Agency,unlimited,2020
36,Female,Munich,Middle,Frontend Developer,10,48000,30,German,Product,unlimited,2020
29,Male,Berlin,Middle,Frontend Developer,3,48000,26,English,Consulting / Agency,unlimited,2020
32,Male,Siegen,Junior,Software Engineer,13,48000,28,English,Product,unlimited,2020
26,Male,Eindhoven,Middle,ML Engineer,3,48000,30,English,Product,unlimited,2020
32,Female,Berlin,Junior,BI Analyst ,1,48000,28,English,Startup,unlimited,2020
28,Male,Berlin,Junior,ML Engineer,0,48000,30,English,Startup,unlimited,2020
26,Male,Amsterdam,Junior,Data Scientist,2,48000,25,English,Fintech,Temporary contract,2020
30,Female,Stockholm,Senior,QA Engineer,7,48000,30,English,Product,unlimited,2020
28,Male,Wolfsburg,Junior,Software Engineer,2,48000,30,English,Product,unlimited,2020
24,Male,Moscow,Senior,Product Manager,3,48000,28,Русский,Product,unlimited,2020
35,Female,Hamburg,Middle,Data Scientist,3,49000,30,Deutsch,Consulting / Agency,unlimited,2019
24,Female,Cologne,Junior,Data Scientist,1,49000,25,English,Consulting / Agency,unlimited,2019
29,Female,Berlin,Middle,Backend Developer,3,49000,27,English,Product,unlimited,2019
32,Female,Kempten,Middle,Fullstack Developer,10,49000,30,English and German,Product,unlimited,2020
33,Male,Mannheim,Middle,Software Engineer,6,49000,28,English,Startup,unlimited,2020
27,Male,Munich,Junior,Data Engineer,2,49000,30,German,Consulting / Agency,unlimited,2020
35,Male,Berlin,Middle,Data Analyst,5,49000,26,English,Product,unlimited,2020
23,Male,Munich,Junior,ML Engineer,1,49000,24,English,Product,unlimited,2020
30,Male,Berlin,Senior,Software Engineer,7,49000,12,English,Startup,Temporary contract,2020
23,Male,Dublin,Senior,Data Analyst,3,49200,21,English,Product,unlimited,2020
39,Male,Munich,Senior,Desktop/Unity3D Developer,15,49375,30,Deutsch,Product,unlimited,2019
25,Female,Amsterdam,Middle,Data Scientist,1.5,49850,25,English,Startup,unlimited,2020
23,Male,Berlin,Middle,Data Scientist,3,50000,28,English,Startup,unlimited,2019
32,Female,Nuremberg,Senior,QA,8,50000,26,English,Product,unlimited,2019
31,Male,Stuttgart,Middle,Mobile Developer,6,50000,30,Deutsch,Product,unlimited,2019
32,Male,Frankfurt,Middle,Mobile Developer,4,50000,24,English,Product,unlimited,2019
27,Male,Munich,Junior,Software Architect,3,50000,33,English,Product,unlimited,2019
32,Male,Nuremberg,Middle,Data Scientist,2,50000,30,English,Consulting / Agency,unlimited,2019
35,Female,Berlin,Junior,Frontend Developer,2,50000,26,English,Startup,unlimited,2019
34,Male,Frankfurt,Middle,Data Scientist,3,50000,28,English,Product,unlimited,2019
34,Male,Berlin,Middle,Frontend Developer,3,50000,27,English,Product,Temporary contract,2019
33,Female,Berlin,Middle,Data Scientist,1,50000,30,English,Startup,unlimited,2019
28,Female,Berlin,Junior,Data Scientist,1,50000,30,Deutsch,Consulting / Agency,unlimited,2019
26,Male,Munich,Middle,Fullstack Developer,5,50000,25,English,Product,unlimited,2019
33,Male,Cologne,Middle,Data Scientist,3,50000,25,English,Startup,Temporary contract,2019
36,Male,Berlin,Middle,QA,6,50000,30,Deutsch,Product,Temporary contract,2019
28,Female,Hamburg,Junior,Data Scientist,1,50000,27,English,Startup,unlimited,2019
27,Female,Berlin,Middle,Backend Developer,5,50000,30,Deutsch,Consulting / Agency,unlimited,2019
33,Male,Munich,Junior,Backend Developer,2,50000,24,English,Product,unlimited,2019
24,Male,Berlin,Middle,Backend Developer,3,50000,26,English,Startup,unlimited,2019
30,Male,Minsk,Senior,QA,9,50000,20,Russian,Product,Temporary contract,2019
33,Male,Amsterdam,Middle,Researcher,8,50000,45,English,University,unlimited,2019
33,Male,Frankfurt,Middle,Software Engineer,4,50000,24,English,Consulting / Agency,unlimited,2020
27,Female,Hamburg,Senior,Account Manager,6,50000,28,English,Product,Temporary contract,2020
35,Male,Berlin,Middle,Frontend Developer,4,50000,28,English,Product,unlimited,2020
33,Female,Berlin,Senior,QA Engineer,8,50000,24,English,Startup,unlimited,2020
30,Female,Berlin,Middle,QA Engineer,5,50000,30,German,Product,unlimited,2020
53,Male,Stuttgart,Senior,Frontend Developer,15,50000,24,German,Product,unlimited,2020
31,Female,Frankfurt,Junior,Software Engineer,2,50000,28,English,Consulting / Agency,unlimited,2020
30,Male,Moscow,Junior,Backend Developer,2,50000,30,English,Product,unlimited,2020
40,Female,Berlin,Junior,Software Engineer,2,50000,30,English,Startup,unlimited,2020
27,Female,Munich,Junior,Mobile Developer,1,50000,27,English,Startup,unlimited,2020
36,Male,Berlin,Middle,Data Scientist,5,50000,30,English,Startup,unlimited,2020
31,Male,Hamburg,Middle,Data Scientist,9,50000,23,German,Product,unlimited,2020
21,Female,Cologne,Middle,Mobile Developer,2,50000,24,English,Others,unlimited,2020
35,Female,Frankfurt,Junior,Software Engineer,1,50000,30,German,Consulting / Agency,unlimited,2020
24,Male,Berlin,Junior,Software Engineer,2,50000,30,German,Product,unlimited,2020
28,Male,Frankfurt,Senior,Mobile Developer,5,50000,24,English,Consulting / Agency,unlimited,2020
26,Male,Berlin,Middle,QA Engineer,6,50000,30,English,Product,unlimited,2020
41,Male,Rome,Head,CTO,22,50000,31,Italian,Product,unlimited,2020
35,Male,Berlin,Middle,Software Engineer,2,50000,45,English,Product,unlimited,2020
30,Male,Munich,Middle,Data Scientist,2,50000,30,English,Startup,unlimited,2020
28,Male,warsaw,Middle,Data Scientist,3,50000,21,English,Product,unlimited,2020
28,Male,Cologne,Middle,Software Engineer,5,50000,25,Russian,Product,unlimited,2020
27,Male,Hamburg,Junior,Backend Developer,0,50000,30,English,Startup,unlimited,2020
27,Male,Dusseldurf,Middle,Backend Developer,2,50000,28,English,Product,unlimited,2020
31,Male,Berlin,Middle,Data Engineer,4,50000,30,English,Product,unlimited,2020
31,Male,Berlin,Middle,Backend Developer,4,50000,25,English,Product,unlimited,2020
31,Male,Dusseldorf,Senior,Software Engineer,7,50400,27,English,Product,unlimited,2020
35,Male,Berlin,Senior,Designer (UI/UX),10,50400,29,German,Consulting / Agency,unlimited,2020
32,Female,Berlin,Middle,Computational linguist,5,50400,29,English,Product,unlimited,2020
31,Female,Berlin,Middle,Data Scientist,4,50500,30,English,Product,unlimited,2020
28,Male,Lausanne,Junior,Researcher,7,50800,28,English,University,Temporary contract,2019
29,Male,Berlin,Middle,Data Scientist,3,51000,28,English,Startup,unlimited,2019
32,Female,Stuttgart,Middle,Manager,3,51000,25,English,Product,unlimited,2019
28,Male,Berlin,Middle,Product Manager,3,51000,27,English,Product,unlimited,2020
25,Male,Berlin,Junior,Data Scientist,1,51000,28,English,Product,unlimited,2020
30,Male,Paderborn,Junior,Data Scientist,6,51000,30,German,Product,unlimited,2020
35,Female,Munich,Middle,Backend Developer,4,51000,30,German,Insurance,unlimited,2020
26,Male,Berlin,Middle,Data Engineer,4,51000,30,English,Consulting / Agency,unlimited,2020
30,Female,Berlin,Middle,ML Engineer,5,51000,30,English,Startup,unlimited,2020
25,Male,Cologne,Middle,ML Engineer,2,51000,24,English,Startup,Temporary contract,2020
29,Female,Berlin,Middle,Project Manager,6,51000,28,English,Startup,unlimited,2020
30,Male,Berlin,Middle,Fullstack Developer,2,51072,30,Deutsch,Consulting / Agency,unlimited,2019
30,Male,Berlin,Middle,Backend Developer,4,51600,30,English,Consulting / Agency,unlimited,2019
27,Male,Berlin,Middle,Manager,2,52000,27,English,Product,unlimited,2019
34,Female,Berlin,Senior,"Designer (UI, UX)",8,52000,25,English,Startup,unlimited,2019
24,Female,Frankfurt,Junior,Fullstack Developer,1,52000,30,Deutsch,Product,unlimited,2019
28,Male,Berlin,Senior,Backend Developer,6,52000,20,English,Startup,Temporary contract,2019
